Q868144,P5063,i43352
Q310865,P8814,01543610-n
Q310865,P5063,i43354
Q858444,P8814,01543902-n
Q858444,P5063,i43356
Q1093619,P8814,01545700-n
Q1093619,P5063,i43367
Q3467715,P8814,01545913-n
Q3467715,P5063,i43369
Q1094968,P8814,01546149-n
Q1094968,P5063,i43371
Q1079034,P8814,01546708-n
Q1079034,P5063,i43375
Q13167346,P8814,01547185-n
Q13167346,P5063,i43378
Q909836,P8814,01547518-n
Q909836,P5063,i43380
Q13170975,P8814,01547944-n
Q13170975,P5063,i43383
Q12809511,P8814,01548393-n
Q12809511,P5063,i43386
Q868932,P8814,01551955-n
Q868932,P5063,i43403
Q15881075,P8814,01552674-n
Q15881075,P5063,i43408
Q1195360,P8814,01554190-n
Q1195360,P5063,i43417
Q1079212,P8814,01554556-n
Q1079212,P5063,i43419
Q859561,P8814,01554833-n
Q859561,P5063,i43421
Q429074,P8814,01555295-n
Q429074,P5063,i43424
Q461021,P8814,01555597-n
Q461021,P5063,i43426
Q1002963,P8814,01556021-n
Q1002963,P5063,i43428
Q375593,P8814,01556261-n
Q375593,P5063,i43430
Q539321,P8814,01556520-n
Q539321,P5063,i43432
Q903934,P8814,01556952-n
Q903934,P5063,i43435
Q3389415,P8814,01557466-n
Q3389415,P5063,i43438
Q1088541,P8814,01558681-n
Q1088541,P5063,i43444
Q10770214,P8814,01561935-n
Q10770214,P5063,i43460
Q906092,P8814,01563152-n
Q906092,P5063,i43468
Q1088544,P8814,01563700-n
Q1088544,P5063,i43472
Q240088,P8814,01563959-n
Q240088,P5063,i43474
Q855800,P8814,01564757-n
Q855800,P5063,i43480
Q187014,P8814,01565225-n
Q187014,P5063,i43483
Q208716,P8814,01566220-n
Q208716,P5063,i43488
Q15931206,P8814,01567271-n
Q15931206,P5063,i43494
Q214627,P8814,01567879-n
Q214627,P5063,i43498
Q637716,P8814,01568121-n
Q637716,P5063,i43500
Q10826912,P8814,01569150-n
Q10826912,P5063,i43507
Q739200,P8814,01569529-n
Q739200,P5063,i43509
Q980233,P8814,01570171-n
Q980233,P5063,i43511
Q13571873,P8814,01571134-n
Q13571873,P5063,i43517
Q10772647,P8814,01572354-n
Q10772647,P5063,i43524
Q179333,P8814,01573610-n
Q179333,P5063,i43533
Q1080561,P8814,01573938-n
Q1080561,P5063,i43535
Q1424573,P8814,01574815-n
Q1424573,P5063,i43539
Q1431050,P8814,01575551-n
Q1431050,P5063,i43544
Q1821411,P8814,01576124-n
Q1821411,P5063,i43548
Q10756454,P8814,01576416-n
Q10756454,P5063,i43550
Q612008,P8814,01576911-n
Q612008,P5063,i43553
Q2003332,P8814,01577911-n
Q2003332,P5063,i43560
Q2417877,P8814,01578853-n
Q2417877,P5063,i43566
Q185237,P8814,01579147-n
Q185237,P5063,i43568
Q259424,P8814,01580727-n
Q259424,P5063,i43577
Q826027,P8814,01583285-n
Q826027,P5063,i43593
Q953996,P8814,01583682-n
Q953996,P5063,i43596
Q1951909,P8814,01584248-n
Q1951909,P5063,i43599
Q373682,P8814,01585266-n
Q373682,P5063,i43607
Q2718273,P8814,01585684-n
Q2718273,P5063,i43609
Q10763400,P8814,01586277-n
Q10763400,P5063,i43613
Q3888717,P8814,01587170-n
Q3888717,P5063,i43617
Q867629,P8814,01587635-n
Q867629,P5063,i43620
Q10812327,P8814,01588218-n
Q10812327,P5063,i43624
Q11848605,P8814,01588531-n
Q11848605,P5063,i43626
Q753221,P8814,01589182-n
Q753221,P5063,i43630
Q2498241,P8814,01589432-n
Q2498241,P5063,i43631
Q2165737,P8814,01589789-n
Q2165737,P5063,i43633
Q10757040,P8814,01590047-n
Q10757040,P5063,i43635
Q430477,P8814,01590354-n
Q430477,P5063,i43637
Q537702,P8814,01590813-n
Q537702,P5063,i43640
Q621253,P8814,01591230-n
Q621253,P5063,i43642
Q10730467,P8814,01591499-n
Q10730467,P5063,i43644
Q205938,P8814,01591766-n
Q205938,P5063,i43646
Q1991437,P8814,01592223-n
Q1991437,P5063,i43648
Q10826827,P8814,01592683-n
Q10826827,P5063,i43651
Q719380,P8814,01594551-n
Q719380,P5063,i43661
Q16070731,P8814,01595533-n
Q16070731,P5063,i43667
Q10745525,P8814,01595797-n
Q10745525,P5063,i43669
Q10736288,P8814,01596064-n
Q10736288,P5063,i43671
Q180423,P8814,01596346-n
Q180423,P5063,i43673
Q39861,P8814,01596798-n
Q39861,P5063,i43676
Q261763,P8814,01597971-n
