Q41181	P8814	"01616984-n"
Q41181	P5063	"i43791"
Q374141	P8814	"01617197-n"
Q374141	P5063	"i43792"
Q269896	P8814	"01617944-n"
Q269896	P5063	"i43797"
Q13428438	P8814	"01619192-n"
Q13428438	P5063	"i43804"
Q177856	P8814	"01619736-n"
Q177856	P5063	"i43807"
Q126167	P8814	"01620084-n"
Q126167	P5063	"i43809"
Q33504	P8814	"01620407-n"
Q33504	P5063	"i43811"
Q168748	P8814	"01621144-n"
Q168748	P5063	"i43816"
Q194314	P8814	"01622776-n"
Q194314	P5063	"i43825"
Q213366	P8814	"01623055-n"
Q213366	P5063	"i43827"
Q129958	P8814	"01624761-n"
Q129958	P5063	"i43835"
Q25756	P8814	"01625600-n"
Q25756	P5063	"i43841"
Q40657257	P8814	"01626066-n"
Q40657257	P5063	"i43844"
Q748921	P8814	"01626521-n"
Q748921	P5063	"i43847"
Q171563	P8814	"01626756-n"
Q171563	P5063	"i43848"
Q1260390	P8814	"01626853-n"
Q1260390	P5063	"i43849"
Q193192	P8814	"01627178-n"
Q193192	P5063	"i43852"
Q25317	P8814	"01628203-n"
Q25317	P5063	"i43859"
Q259425	P8814	"01632789-n"
Q259425	P5063	"i43875"
Q50407527	P8814	"01633311-n"
Q50407527	P5063	"i43878"
Q1552306	P8814	"01633542-n"
Q1552306	P5063	"i43880"
Q1358580	P8814	"01634153-n"
Q1358580	P5063	"i43884"
Q786946	P8814	"01638121-n"
Q786946	P5063	"i43909"
Q1092717	P8814	"01638993-n"
Q1092717	P5063	"i43913"
Q2510325	P8814	"01639151-n"
Q2510325	P5063	"i43914"
Q308239	P8814	"01640970-n"
Q308239	P5063	"i43925"
Q2136945	P8814	"01646537-n"
Q2136945	P5063	"i43953"
Q13165156	P8814	"01649029-n"
Q13165156	P5063	"i43967"
Q694496	P8814	"01649443-n"
Q694496	P5063	"i43970"
Q21245936	P8814	"01649543-n"
Q21245936	P5063	"i43971"
Q28032645	P8814	"01649944-n"
Q28032645	P5063	"i43974"
Q372267	P8814	"01651261-n"
Q372267	P5063	"i43982"
Q2673608	P8814	"01654282-n"
Q2673608	P5063	"i43998"
Q2720420	P8814	"01655667-n"
Q2720420	P5063	"i44006"
Q2181155	P8814	"01655864-n"
Q2181155	P5063	"i44007"
Q192095	P8814	"01666706-n"
Q192095	P5063	"i44042"
Q282385	P8814	"01667315-n"
Q282385	P5063	"i44046"
Q120043	P8814	"01668182-n"
Q120043	P5063	"i44051"
Q2302528	P8814	"01672013-n"
Q2302528	P5063	"i44073"
Q199203	P8814	"01672295-n"
Q199203	P5063	"i44075"
Q504549	P8814	"01673176-n"
Q504549	P5063	"i44079"
Q914356	P8814	"01674120-n"
Q914356	P5063	"i44085"
Q106449030	P8814	"01675073-n"
Q106449030	P5063	"i44090"
Q106449022	P8814	"01675252-n"
Q106449022	P5063	"i44091"
Q169498	P8814	"01681298-n"
Q169498	P5063	"i44119"
Q1414026	P8814	"01683969-n"
Q1414026	P5063	"i44135"
Q748410	P8814	"01684813-n"
Q748410	P5063	"i44140"
Q18324831	P8814	"01688685-n"
Q18324831	P5063	"i44163"
Q5085972	P8814	"01688861-n"
Q5085972	P5063	"i44164"
Q43306334	P8814	"01689044-n"
Q43306334	P5063	"i44165"
Q43308270	P8814	"01689449-n"
Q43308270	P5063	"i44167"
Q320665	P8814	"01691722-n"
Q320665	P5063	"i44181"
Q183660	P8814	"01692790-n"
Q183660	P5063	"i44187"
Q148595	P8814	"01695816-n"
Q148595	P5063	"i44205"
Q307047	P8814	"01695975-n"
Q307047	P5063	"i44206"
Q737896	P8814	"01697596-n"
Q737896	P5063	"i44215"
Q182599	P8814	"01700252-n"
Q182599	P5063	"i44228"
Q194422	P8814	"01701423-n"
Q194422	P5063	"i44236"
Q107333250	P8814	"01701895-n"
Q107333250	P5063	"i44239"
Q17134	P8814	"01702316-n"
Q17134	P5063	"i44242"
Q426062	P8814	"01732948-n"
Q426062	P5063	"i44405"
Q43373908	P8814	"01734405-n"
Q43373908	P5063	"i44415"
Q22915197	P8814	"01735255-n"
Q22915197	P5063	"i44420"
Q18324838	P8814	"01735430-n"
Q18324838	P5063	"i44421"
Q670937	P8814	"01736107-n"
Q670937	P5063	"i44426"
Q1663774	P8814	"01736598-n"
Q1663774	P5063	"i44429"
Q1257513	P8814	"01737449-n"
Q1257513	P5063	"i44434"
Q2565456	P8814	"01738369-n"
Q2565456	P5063	"i44439"
Q2156927	P8814	"01738673-n"
Q2156927	P5063	"i44441"
Q3021047	P8814	"01739016-n"
Q3021047	P5063	"i44443"
Q3019094	P8814	"01739437-n"
Q3019094	P5063	"i44446"
Q2163958	P8814	"01740113-n"
Q2163958	P5063	"i44450"
Q170713	P8814	"01740516-n"
Q170713	P5063	"i44452"
Q1541871	P8814	"01740706-n"
Q1541871	P5063	"i44453"
Q922205	P8814	"01742772-n"
Q922205	P5063	"i44467"
Q3014273	P8814	"01743873-n"
Q3014273	P5063	"i44474"
Q207347	P8814	"01745727-n"
Q207347	P5063	"i44485"
Q216136	P8814	"01746741-n"
Q216136	P5063	"i44491"
Q245183	P8814	"01746911-n"
Q245183	P5063	"i44492"
Q764797	P8814	"01747042-n"
Q764797	P5063	"i44493"
