wn_synset,wn_definition,wn_ili,wn_members,wn_wd_qid
02583622-n,big-eyed scad,i49259,Selar|genus Selar,Q745504
02583920-n,scads especially mackerel scad; cosmopolitan in distribution,i49261,Decapterus|genus Decapterus,Q903235
02584434-n,large active pelagic percoid fish,i49264,Coryphaenidae|family Coryphaenidae,Q13170001
02585222-n,type genus of the Bramidae,i49269,Brama|genus Brama,Q1053062
02585550-n,small family of marine fishes having covered gills,i49271,Branchiostegidae|family Branchiostegidae,Q33135518
02586399-n,tetras,i49276,Hemigrammus|genus Hemigrammus,Q134548
02586635-n,a genus of Characidae,i49278,Paracheirodon|genus Paracheirodon,Q132910
02586956-n,piranhas,i49280,Serrasalmus|genus Serrasalmus,Q972721
02588760-n,a genus of Cichlidae,i49289,Tilapia|genus Tilapia,Q1770703
02589013-n,the family of snappers (Lutjanidae),i49291,Lutjanidae|family Lutjanidae,Q849160
02589496-n,type genus of the Lutjanidae: snappers,i49293,Lutjanus|genus Lutjanus,Q139141
02590391-n,a genus of snappers (Ocyurus),i49298,Ocyurus|genus Ocyurus,Q2212925
02591210-n,type genus of the Haemulidae,i49302,Haemulon|genus Haemulon,Q772044
02593835-n,"a genus of Sparidae, containing the southern common seabream, the silver seabream, the redbanded seabream, the bluespotted seabream, the red seabream, and the common seabream (Pagrus)",i49317,Pagrus|genus Pagrus,Q432412
02594123-n,sea breams,i49319,Pagellus|genus Pagellus,Q1654733
02594387-n,a genus of Sparidae,i49321,Archosargus|genus Archosargus,Q2623566
02594874-n,"a genus of Sparidae, containing the pinfish (Lagodon)",i49324,Lagodon|genus Lagodon,Q13217680
02595237-n,"a genus of Sparidae, containing porgies (Calamus)",i49326,Calamus|genus Calamus,Q2729463
02595496-n,Australian snapper,i49328,Chrysophrys|genus Chrysophrys,Q19851071
02595983-n,scups,i49331,Stenotomus|genus Stenotomus,Q1980894
02596493-n,warm-water marine fishes including the drums and grunts and croakers and sea trout,i49334,Sciaenidae|family Sciaenidae,Q216634
02597847-n,"a genus of fish in the family Sciaenidae, comprising the armed croaker, the silver perch, the swordspine croaker, the ronco croaker, the ground croaker, and bairdiella sanctaeluciae (Bairdiella)",i49340,Bairdiella|genus Bairdiella,Q145353
02598199-n,"a genus of Sciaenidae, containing the fish known as the red drum, the channel bass, the redfish, the spottail bass, or the reds (Sciaenops)",i49342,Sciaenops|genus Sciaenops,Q14718316
02598532-n,type genus of the Sciaenidae: croakers,i49344,Sciaena|genus Sciaena,Q2260146
02599222-n,a genus containing the finebarbel croakers (Micropogonias),i49348,Micropogonias|genus Micropogonias,Q2705026
02599518-n,a genus containing 16 species of drums (Umbrina),i49350,Umbrina|genus Umbrina,Q2478227
02599803-n,kingfishes; whiting,i49352,Menticirrhus|genus Menticirrhus,Q135256
02601068-n,"a genus of Sciaenidae, containing the fish known as the white croaker, the Pasadena trout, the tommy croaker, and the little bass (Genyonemus)",i49359,Genyonemus|genus Genyonemus,Q17152657
02601377-n,"a genus of Sciaenidae, containing the queenfish (Seriphus)",i49361,Seriphus|genus Seriphus,Q14721204
02602765-n,type genus of the Mullidae: goatfishes,i49369,Mullus|genus Mullus,Q1289177
02603287-n,a genus of Mullidae,i49372,Mulloidichthys|genus Mulloidichthys,Q2265003
