wn_synset,wn_definition,wn_ili,wn_members,wn_wd_qid
12889394-n,large genus of usually woolly or hairy herbs or subshrubs or shrubs; temperate eastern hemisphere; tropical Australasia,i104421,Stachys|genus Stachys,Q156294
12891152-n,large genus of Old World mints: thyme,i104430,Thymus|genus Thymus,Q131224
12892752-n,"carnivorous aquatic or bog plants: genera Utricularia, Pinguicula, and Genlisea",i104439,Lentibulariaceae|family Lentibulariaceae|bladderwort family,Q161952
12894406-n,in most classifications not considered a separate family but included in the Pedaliaceae,i104446,Martyniaceae|family Martyniaceae,Q53477
12894991-n,brown or yellow leafless herbs; sometimes placed in the order Scrophulariales,i104449,Orobanchaceae|family Orobanchaceae|broomrape family,Q156192
12895189-n,the family of plants of order Polemoniales,i104450,Pedaliaceae|family Pedaliaceae|sesame family,Q161187
12895402-n,tropical African and Indian herbs,i104451,Sesamum|genus Sesamum,Q47334
12895756-n,in some classifications included in the genus Martynia and hence the two taxonomic names for some of the unicorn plants,i104453,Proboscidea|genus Proboscidea,Q137309
12896792-n,a family of dicotyledonous plants of the order Polemoniales; includes figwort and snapdragon and foxglove and toadflax and speedwell and mullein; in some classifications placed in the order Scrophulariales,i104458,Scrophulariaceae|family Scrophulariaceae|figwort family|foxglove family,Q53473
12898779-n,genus of North American spring wildflowers,i104466,Besseya|genus Besseya,Q7217568
12900479-n,genus of western North and South American perennials often partially parasitic on roots of grasses,i104474,Castilleja|genus Castilleja|Castilleia|genus Castilleia,Q311122
12902189-n,genus of hardy annual herbs of western United States,i104482,Collinsia|genus Collinsia,Q1828247
12903081-n,a tall perennial herb having spikes of small white or purple flowers; common in eastern North America,i104486,Culver's root|Culvers root|Culver's physic|Culvers physic|whorlywort|Veronicastrum virginicum,Q4108065
12904493-n,semiparasitic herb with purple or white or pink flowers; grows in the United States and West Indies,i104493,Agalinis|genus Agalinis,Q4691145
12905283-n,large genus of subshrubs or herbs having showy blue or purple or red or yellow or white flowers; mostly western North America,i104497,Penstemon|genus Penstemon,Q809265
12913854-n,"type genus of the Solanaceae: nightshade, potato, eggplant, bittersweet",i104532,Solanum|genus Solanum,Q146555
12923057-n,genus of fragrant tropical American shrubs,i104570,Cestrum|genus Cestrum,Q1364444
12923647-n,tree tomato,i104573,Cyphomandra|genus Cyphomandra,Q14944340
12924554-n,genus of South and Central American heathlike evergreen shrubs,i104578,Fabiana|genus Fabiana,Q286158
12924908-n,genus of poisonous herbs: henbane,i104580,Hyoscyamus|genus Hyoscyamus,Q158510
12925480-n,deciduous and evergreen shrubs often spiny; cosmopolitan in temperate and subtropical regions,i104583,Lycium|genus Lycium,Q3268411
12926415-n,tomatoes,i104587,Lycopersicon|genus Lycopersicon|Lycopersicum|genus Lycopersicum,Q12339542
12927686-n,sturdy annual of Peru,i104594,Nicandra|genus Nicandra,Q3339559
12930901-n,ground cherries,i104611,Physalis|genus Physalis,Q158663
12934112-n,genus of European perennial herbs yielding medicinal alkaloids,i104627,Scopolia|genus Scopolia,Q1431469
12934405-n,shrubby climbers of tropical America,i104629,Solandra|genus Solandra,Q136929
12934808-n,one species: marmalade bush,i104631,Streptosolen|genus Streptosolen,Q3500355
12935193-n,family of New World tropical and subtropical herbs and shrubs and trees,i104633,Verbenaceae|family Verbenaceae|verbena family|vervain family,Q156960
12935990-n,small genus of tropical shrubs or trees,i104637,Avicennia|genus Avicennia,Q132645
12936160-n,used in some classifications: coextensive with the genus Avicennia,i104638,Avicenniaceae|family Avicenniaceae,Q664810
12936785-n,a genus of herbs of the family Verbenaceae,i104641,Aegiceras|genus Aegiceras,Q4687573
12937695-n,a family of plants of order Geraniales,i104646,Euphorbiaceae|family Euphorbiaceae|spurge family,Q156584
12944599-n,a genus of slender herbs belonging to the family Euphorbiaceae,i104677,Mercurialis|genus Mercurialis,Q157606
12945212-n,a genus of herb having only one known species: castor-oil plant,i104680,Ricinus|genus Ricinus,Q9069137
12945744-n,a genus of perennial plant with bristles; belonging to the family Euphorbiaceae,i104682,Cnidoscolus|genus Cnidoscolus,Q2711979
12946154-n,a mainly tropical genus of American plant belonging to the family Euphorbiaceae,i104684,Jatropha|genus Jatropha,Q152986
12948681-n,tropical American succulent shrubs,i104696,Pedilanthus|genus Pedilanthus,Q10347160
12949450-n,Mexican spurges,i104700,Sebastiana|genus Sebastiana,Q5220377
12949821-n,a family of trees and shrubs of the order Parietales,i104702,Theaceae|family Theaceae|tea family,Q156574
12951869-n,fool's parsley,i104710,Aethusa|genus Aethusa,Q2274537
12952209-n,dill,i104712,Anethum|genus Anethum,Q2542121
12953292-n,"chervil: of Europe, North Africa and Asia",i104718,Anthriscus|genus Anthriscus,Q745445
12953924-n,celery,i104721,Apium|genus Apium,Q2284228
12955128-n,caraway,i104728,Carum|genus Carum,Q149079
12956217-n,small genus of highly toxic biennials: hemlock,i104734,Conium|genus Conium,Q6491516
12957473-n,cumin,i104740,Cuminum|genus Cuminum,Q2511981
12959657-n,very small genus of aromatic European herbs with pinnately compound leaves and yellow flowers,i104751,Foeniculum|genus Foeniculum,Q27030
12960424-n,widely distributed genus of plants with usually thick rootstocks and large umbels of white flowers,i104755,Heracleum|genus Heracleum,Q327106
12960820-n,genus of aromatic European herbs with yellow flowers,i104757,Levisticum|genus Levisticum,Q2701345
12961538-n,poisonous herbs: water dropworts,i104761,Oenanthe|genus Oenanthe,Q2737226
12963030-n,parsley,i104769,Petroselinum|genus Petroselinum,Q310933
12963690-n,anise,i104773,Pimpinella|genus Pimpinella,Q588740
12964998-n,a rosid dicot genus that includes moon carrots,i104780,Seseli|genus Seseli,Q592341
12965350-n,genus including stone parsley,i104782,Sison|genus Sison,Q4361719
12965720-n,perennial of wet and marshy places in the Northern Hemisphere: water parsnips,i104784,Sium|genus Sium,Q943721
12966848-n,"a rosid dicot family of the order Umbellales including: genera Aucuba, Cornus, Corokia, Curtisia, Griselinia, Helwingia",i104790,Cornaceae|family Cornaceae|dogwood family,Q161403
12967192-n,hardy evergreen dioecious shrubs and small trees from Japan,i104791,Aucuba|genus Aucuba,Q162931
12969609-n,a large evergreen tree of South Africa,i104803,Curtisia|genus Curtisia,Q284644
12969738-n,evergreen shrubs of New Zealand and South America,i104804,Griselinia|genus Griselinia,Q135212
12970482-n,genus of mostly herbs having a characteristic fetid odor,i104808,Valerianaceae|family Valerianaceae|valerian family,Q156682
12970715-n,genus of widely distributed perennial herbs and some shrubs,i104809,Valeriana|genus Valeriana,Q159559
12971261-n,genus of Old World annual herbs widely naturalized,i104812,Valerianella|genus Valerianella,Q161504
12971744-n,genus of southern European herbs and subshrubs,i104815,Centranthus|genus Centranthus,Q543142
12972225-n,terrestrial (hygrophytic) or epiphytic ferns: filmy ferns,i104818,Hymenophyllaceae|family Hymenophyllaceae,Q1066700
12972782-n,bristle ferns; kidney ferns,i104821,Trichomanes|genus Trichomanes,Q2704784
12973612-n,large family of ferns widely distributed in temperate and tropical areas,i104826,Osmundaceae|family Osmundaceae,Q843318
12973839-n,type genus of the Osmundaceae,i104827,genus Osmunda,Q1427328
12975394-n,a genus of delicate ferns belonging to the family Osmundaceae,i104834,Todea|genus Todea,Q3978390
12975738-n,small family of mainly tropical ferns,i104836,Schizaeaceae|family Schizaeaceae,Q7431556
12976399-n,genus of terrestrial or lithophytic ferns having pinnatifid fronds; chiefly of tropical America,i104839,Anemia|genus Anemia,Q3353348
12976789-n,chiefly tropical climbing ferns,i104841,Lygodium|genus Lygodium,Q2491168
12977551-n,African terrestrial ferns,i104845,Mohria|genus Mohria,Q6894349
12978058-n,"a family of heterosporous aquatic and semi-aquatic ferns, commonly known as the pepperwort family or the water-clover family (Marsileaceae)",i104848,Marsileaceae|family Marsileaceae,Q1115420
12978227-n,a genus of water-clover ferns (Marsilea),i104849,Marsilea|genus Marsilea,Q2363141
12978900-n,pillworts,i104853,Pilularia|genus Pilularia,Q1813370
12979532-n,a family of water ferns containing the two genera Azolla and Salvinia (Salviniaceae),i104857,Salviniaceae|family Salviniaceae,Q867194
12979681-n,type genus of the Salviniaceae: water ferns,i104858,Salvinia|genus Salvinia,Q836341
12979986-n,used in some classifications for the genus Azolla,i104860,Azollaceae|family Azollaceae,Q19384228
12980131-n,a genus of fern sometimes placed in its own family Azollaceae,i104861,Azolla|genus Azolla,Q1128633
12980562-n,coextensive with the family Ophioglossaceae,i104863,Ophioglossales|order Ophioglossales,Q767431
12980727-n,a family of succulent ferns of order Ophioglossales; cosmopolitan in distribution,i104864,Ophioglossaceae|family Ophioglossaceae,Q740217
12983900-n,saprophytic and parasitic fungi that live on plants,i104884,Erysiphales|order Erysiphales,Q934008
12984067-n,family of fungi parasitic mostly on leaves; includes powdery mildews,i104885,Erysiphaceae|family Erysiphaceae,Q1755354
12984254-n,genus of powdery mildews,i104886,Erysiphe|genus Erysiphe,Q5396379
12984556-n,large order of ascomycetous fungi usually having a dark hard perithecia with definite ostioles; in more recent classifications often divided among several orders,i104888,Sphaeriales|order Sphaeriales,Q143039
12984890-n,parasitic fungi having globose and sometimes necked or beaked perithecia,i104889,Sphaeriaceae|family Sphaeriaceae,Q4429008
12985081-n,genus of fungi with black perithecia used extensively in genetic research; includes some forms with orange spore masses that cause severe damage in bakeries,i104890,Neurospora|genus Neurospora,Q309943
12985969-n,family of fungi having brightly colored fleshy or membranous ascocarps; sometimes placed in its own order Hypocreales,i104895,Hypocreaceae|family Hypocreaceae,Q3144255
12987146-n,family of fungi characterized by dark brown to black spores,i104902,Xylariaceae|family Xylariaceae,Q1755367
12987341-n,type genus of Xylariaceae; fungi with perithecia in the upper part of erect black woody stromata,i104903,Xylaria|genus Xylaria,Q1625602
12988041-n,order of fungi having asci in a disk-shaped to goblet-shaped apothecium,i104907,Helotiales|order Helotiales,Q134490
12988416-n,type genus of the Helotiaceae,i104909,Helotium|genus Helotium,Q5709958
12988536-n,"a fungus family of order Helotiales, with many species in the family being plant pathogens (Sclerotiniaceae)",i104910,Sclerotiniaceae|family Sclerotiniaceae,Q2292808
12991139-n,stalked puffballs,i104923,Tulostomaceae|family Tulostomaceae|Tulostomataceae|family Tulostomataceae,Q10706187
12991917-n,a family of fungi of order Hymenogastrales having round subterranean sporophores,i104927,Rhizopogonaceae|family Rhizopogonaceae,Q1339567
12992384-n,a genus of fungi having subterranean sporophores resembling tubers,i104929,Rhizopogon|genus Rhizopogon,Q874176
12993389-n,class of fungi coextensive with subdivision Zygomycota,i104934,Zygomycetes|class Zygomycetes,Q3543148
12993578-n,an order of mostly saprophytic fungi,i104935,Mucorales|order Mucorales,Q141280
12993726-n,large family of chiefly saprophytic fungi that includes many common molds destructive to food products,i104936,Mucoraceae|family Mucoraceae,Q3268436
12995046-n,coextensive with the family Entomophthoraceae,i104943,Entomophthorales|order Entomophthorales,Q1257561
12995217-n,mostly parasitic lower fungi that typically develop in the bodies of insects,i104944,Entomophthoraceae|family Entomophthoraceae,Q4532109
12995422-n,type genus of the Entomophthoraceae; fungi parasitic on insects,i104945,Entomophthora|genus Entomophthora,Q4532108
12996368-n,the class of true slime molds; essentially equivalent to the division Myxomycota,i104949,Myxomycetes|class Myxomycetes,Q19830063
12997149-n,genus of slime molds that grow on dung and decaying vegetation,i104953,genus Dictostylium|Dictyostelium,Q17146891
12998056-n,nonphotosynthetic fungi that resemble algae and that reproduce by forming oospores; sometimes classified as protoctists,i104957,Oomycetes|class Oomycetes,Q21445833
12998325-n,a class of mostly aquatic fungi; saprophytic or parasitic on algae or fungi or plants,i104958,Chytridiomycetes|class Chytridiomycetes,Q1137709
12998992-n,a family of aquatic fungi of order Chytridiales,i104961,Chytridiaceae|family Chytridiaceae,Q10452650
12999141-n,fungi that carry out asexual reproduction by thick-walled resting spores that produce zoospores upon germination; sometimes placed in class Oomycetes,i104962,Blastocladiales|order Blastocladiales,Q882055
12999414-n,a family of saprobic fungi of order Blastocladiales,i104963,Blastodiaceae|family Blastodiaceae,Q10431050
12999586-n,a genus of fungi of the family Blastodiaceae,i104964,Blastocladia|genus Blastocladia,Q9174248
12999729-n,a fungus family of order Chytridiales,i104965,Synchytriaceae|family Synchytriaceae,Q10687374
12999889-n,simple parasitic fungi including pond scum parasites,i104966,Synchytrium|genus Synchytrium,Q10687375
13000390-n,aquatic fungi growing chiefly on plant debris and animal remains,i104969,Saprolegnia|genus Saprolegnia,Q134922
13001412-n,genus of destructive downy mildews,i104974,Peronospora|genus Peronospora,Q1650703
13002355-n,fungi that produce white sori resembling blisters on certain flowering plants,i104979,Albuginaceae|family Albuginaceae,Q1956444
13002551-n,type genus of the Albuginaceae; fungi causing white rusts,i104980,Albugo|genus Albugo,Q4749920
13002863-n,fungi having sporangia usually borne successively and singly at the tips of branching sporangiophores,i104982,Pythiaceae|family Pythiaceae,Q3926088
13003977-n,family of fungi often causing hypertrophy in seed plants,i104989,Plasmodiophoraceae|family Plasmodiophoraceae,Q15241144
13004164-n,type genus of Plasmodiophoraceae comprising minute plant parasitic fungi similar to and sometimes included among the slime molds,i104990,Plasmodiophora|genus Plasmodiophora,Q724130
13006844-n,tooth fungi,i105007,Hydnaceae|family Hydnaceae,Q2466809
13007097-n,type genus of Hydnaceae,i105009,Hydnum|genus Hydnum,Q159023
13007618-n,category used especially in former classifications for organisms now constituting the division Lichenes,i105011,Lichenales|order Lichenales,Q6543292
13008412-n,category used in some classification systems for all lichens that produce apothecia,i105015,Lechanorales|order Lechanorales,Q133589
13008594-n,a fungus family of the division Lichenes,i105016,Lecanoraceae|family Lecanoraceae,Q615824
13009463-n,"a fungus family of division Lichenes of which most are lichenized with green algae, although some are lichenicolous, growing on other lichens (Roccellaceae)",i105021,Roccellaceae|family Roccellaceae,Q3052493
13009618-n,chiefly fruticose maritime rock-inhabiting lichens,i105022,genus Roccella,Q7353702
13010222-n,"fruticose lichens having prostrate or erect or pendulous thalli: genera Usnea, Evernia, Ramalina, Alectoria",i105026,Usneaceae|family Usneaceae,Q111721087
13010499-n,widely distributed lichens usually having a greyish or yellow pendulous freely branched thallus,i105027,Usnea|genus Usnea,Q121799
13011167-n,lichens having dark brown erect or pendulous much-branched cylindrical thallus,i105031,Alectoria|genus Alectoria,Q3442095
13012248-n,the largest family of lichen-forming fungi (Parmeliaceae),i105036,Parmeliaceae|family Parmeliaceae,Q2573345
13018890-n,"used in some classifications; usually coextensive with order Agaricales: mushrooms, toadstools, agarics, bracket fungi",i105057,Hymenomycetes|class Hymenomycetes,Q21004311
13022503-n,a genus of fungus belonging to the family Tricholomataceae,i105067,Lentinus|genus Lentinus,Q2033960
13023193-n,genus of widely distributed agarics that have white spores and are poisonous with few exceptions,i105070,Amanita|genus Amanita,Q213938
13024920-n,a well-known genus of fungus; has funnel-shaped fruiting body; includes the chanterelles,i105080,Cantharellus|genus Cantharellus,Q922335
13025926-n,a genus of fungi with a depressed disc in the cap,i105085,Omphalotus|genus Omphalotus,Q2521208
13026328-n,genus of black-spotted agarics in which the cap breaks down at maturity into an inky fluid; sometimes placed in its own family Coprinaceae,i105087,Coprinus|genus Coprinus,Q289890
13027501-n,chiefly small mushrooms with white spores,i105093,Marasmius|genus Marasmius,Q1520016
13027955-n,agarics with white spores and caps having an eccentric stem; an important mushroom of Japan,i105096,Pleurotus|genus Pleurotus,Q852065
13028530-n,genus of gilled agarics of Europe and North America having brown spores and an annulus; grows on open ground or decaying wood,i105099,Pholiota|genus Pholiota,Q584812
13030540-n,large genus of fungi with stout stems and white spores and neither annulus nor volva; brittle caps of red or purple or yellow or green or blue; differs from genus Lactarius in lacking milky juice,i105109,Russula|genus Russula,Q216110
13030824-n,used in some classification systems for the genus Russula,i105110,Russulaceae|family Russulaceae,Q831743
13030979-n,sometimes included in family Agaricaceae,i105111,Strophariaceae|family Strophariaceae,Q1362608
13032790-n,agarics with pink spores but lacking both volva and annulus (includes some that are poisonous),i105120,Entoloma|genus Entoloma,Q2099
13033373-n,a family of fungi having free gills and a cap that is cleanly separable from the stalk,i105123,Lepiotaceae|family Lepiotaceae,Q10557717
13033595-n,a genus of fungus belonging to the family Lepiotaceae,i105124,genus Chlorophyllum,Q604880
13035800-n,fungi having leathery or membranous sporophores,i105136,Thelephoraceae|family Thelephoraceae,Q3041757
13035989-n,genus of fungi having simple smooth sporophores; some are parasitic on wood or economic crops; some species formerly placed in form genus Rhizoctinia,i105137,Corticium|genus Corticium,Q2998103
13036586-n,genus of fungi having the hymenium in the form of a crust; some species formerly placed in form genus Rhizoctinia,i105140,Pellicularia|genus Pellicularia,Q105187047
13039509-n,agarics having pink spores and a distinct volva,i105155,Volvaria|genus Volvaria,Q10716674
13039777-n,"a family of fungi belonging to the order Agaricales, with free gill attachment and pink spores (Pluteaceae)",i105157,Pluteaceae|family Pluteaceae,Q1199784
13039962-n,a large genus of fungi belonging to the family Pluteaceae; the shape of the cap resembles a roof; often abundant early in the summer,i105158,Pluteus|genus Pluteus|roof mushroom,Q1156750
13042838-n,a genus of agarics,i105172,Flammulina|genus Flammulina,Q1765838
13044543-n,large class of higher fungi coextensive with division Ascomycota: sac fungi,i105179,Ascomycetes|class Ascomycetes,Q2303475
13045523-n,class of fungi in which no ascocarps are formed: yeasts and some plant parasites,i105184,Hemiascomycetes|class Hemiascomycetes,Q1069627
13045727-n,fungi having a zygote or a single cell developing directly into an ascus,i105185,Endomycetales|order Endomycetales,Q5147886
13046181-n,single-celled yeasts that reproduce asexually by budding; used to ferment carbohydrates,i105187,Saccharomyces|genus Saccharomyces,Q1146293
13047099-n,type and only genus of Schizosaccharomycetaceae; comprises the fission yeasts,i105192,Schizosaccharomyces|genus Schizosaccharomyces,Q1317935
13047289-n,class of fungi in which the fruiting body is a cleistothecium (it releases spores only on decay or disintegration),i105193,Plectomycetes|class Plectomycetes,Q132180
13047523-n,order of fungi having a closed ascocarp (cleistothecium) with the asci scattered rather than gathered in a hymenium,i105194,Eurotiales|order Eurotiales|Aspergillales|order Aspergillales,Q135266
13047809-n,a genus of fungi belonging to the order Eurotiales,i105195,Eurotium|genus Eurotium,Q10491525
13047950-n,family of fungi including some common molds,i105196,Aspergillaceae|family Aspergillaceae,Q33373960
13048135-n,genus of common molds causing food spoilage and some pathogenic to plants and animals,i105197,Aspergillus|genus Aspergillus,Q335130
13048430-n,genus of fungi having spherical brown perithecia and some conidia borne in chains; cause root rot,i105199,Thielavia|genus Thielavia,Q7783988
13048830-n,class of fungi in which the fruiting body is a perithecium; includes powdery mildews and ergot and Neurospora,i105201,Pyrenomycetes|class Pyrenomycetes,Q133607
13050706-n,order of mostly saprophytic fungi having cup-shaped ascocarps,i105209,Pezizales|order Pezizales,Q660555
13052450-n,a family of edible fungi including the true morels,i105219,Morchellaceae|family Morchellaceae,Q656782
13055191-n,a genus of fungi belonging to the family Sarcoscyphaceae,i105231,Wynnea|genus Wynnea,Q4111634
13055713-n,family of false morels or lorchels; some are edible and some are poisonous,i105234,Helvellaceae|family Helvellaceae,Q2453095
13057352-n,a genus of fungi of the family Helvellaceae with a cup-shaped or saucer-shaped fruiting body and ornamented spores,i105242,genus Discina,Q5281455
13057884-n,a genus of fungi of the family Helvellaceae with a fertile portion that is tan to brown,i105245,genus Gyromitra,Q580989
13059704-n,fungi in which the hymenium is enclosed until after spores have matured: puffballs; earth stars; stinkhorn fungi,i105253,Gasteromycetes|class Gasteromycetes|Gastromycetes|class Gastromycetes,Q811147
13061731-n,closely related to genus Phallus distinguished by an indusium hanging like a skirt from below the pileus,i105261,Dictyophera|genus Dictyophera,Q21220172
13061932-n,a genus of fungi belonging to the family Phallaceae,i105262,Mutinus|genus Mutinus,Q1637675
13062485-n,a family of fungi belonging to the order Gasteromycetes,i105265,Calostomataceae|family Calostomataceae,Q9184296
13063274-n,family of fleshy fungi resembling stinkhorns,i105269,Clathraceae|family Clathraceae,Q27990016
13063454-n,type genus of the Clathraceae,i105270,Clathrus|genus Clathrus,Q913940
13064024-n,small order of basidiomycetous fungi having fleshy often globose fruiting bodies; includes puffballs and earthstars,i105273,Lycoperdales|order Lycoperdales,Q3268477
13064506-n,genus of fungi whose fruiting body tapers toward a base consisting of spongy mycelium,i105275,Lycoperdon|genus Lycoperdon,Q1335970
13064909-n,genus of puffballs having outer casings whose upper parts break at maturity into angular pieces to expose the spores,i105277,Calvatia|genus Calvatia,Q1549736
13065301-n,a family of earthstar fungi belonging to the order Lycoperdales,i105279,Geastraceae|family Geastraceae,Q3100041
13066594-n,a genus of fungi belonging to the family Geastraceae,i105285,Astreus|genus Astreus,Q10420904
13067045-n,small order of basidiomycetous fungi comprising families Nidulariaceae and Sphaerobolaceae,i105288,Nidulariales|order Nidulariales,Q123439032
13067272-n,bird's-nest fungi,i105289,Nidulariaceae|family Nidulariaceae,Q76854
13067647-n,type genus of the Nidulariaceae,i105291,Nidularia|genus Nidularia,Q1316092
13067771-n,monotypic family of fungi in which the more or less spherical gleba is forcibly ejected at maturity,i105292,Sphaerobolaceae|family Sphaerobolaceae,Q31270304
13068466-n,a genus of fungi of the family Secotiaceae,i105295,Gastrocybe|genus Gastrocybe,Q62749439
13068972-n,a stout-stemmed genus of fungus belonging to the family Secotiaceae having fruiting bodies that never expand completely,i105297,Macowanites|genus Macowanites,Q10573574
13069426-n,a genus of fungi belonging to the family Secotiaceae; they resemble boletes but the spores are not discharged from the basidium,i105299,Gastroboletus|genus Gastroboletus,Q1939318
13070045-n,includes chiefly saprophytic fungi typically with shelflike bodies; sometimes placed in class Hymenomycetes or included in Agaricales,i105302,Aphyllophorales|order Aphyllophorales,Q2858281
13071315-n,"a genus of fungi belonging to the family Polyporaceae, containing 19 species of mushroom-producing fungi (Albatrellus)",i105306,Albatrellus|genus Albatrellus,Q1073187
13072626-n,"a genus of fungi belonging to the family Polyporaceae, containing 10 species (Oligoporus)",i105313,Oligoporus|genus Oligoporus,Q80595
13073191-n,type genus of the Polyporaceae; includes important pathogens of e.g. birches and conifers,i105316,Polyporus|genus Polyporus,Q1548736
13073947-n,a family of fungi closely related to the family Polyporaceae except that the tubes on the undersurface of the cap are separate from each other,i105319,Fistulinaceae|family Fistulinaceae,Q931058
13074210-n,fungi having each pore separate though crowded,i105320,Fistulina|genus Fistulina,Q3010372
13074576-n,genus of bracket fungi forming corky or woody perennial shelflike sporophores often of large size; includes some that cause destructive heartrot in trees,i105322,Fomes|genus Fomes,Q2524023
13078605-n,"a genus of fungi belonging to the family Boletaceae, with distinguishing feature the colour of the spore-print, which is described as purple, porphyry-red, dark vinaceous-brown, or chocolate-gray (Fuscoboletinus)",i105339,Fuscoboletinus|genus Fuscoboletinus,Q57418268
13079556-n,"a genus of fungi belonging to the family Boletaceae, containing 50 species, mostly in tropical areas (Phylloporus)",i105344,Phylloporus|genus Phylloporus,Q1831149
13079899-n,"a genus of fungi belonging to the family Boletaceae with species in the genus being associated with trees in the pine family, and being mostly distributed in temperate locations in the Northern Hemisphere (Suillus)",i105346,Suillus|genus Suillus,Q1338220
13081211-n,fungi varying from gelatinous to waxy or even horny in texture; most are saprophytic,i105353,Tremellales|order Tremellales,Q206636
13081449-n,a family of basidiomycetous fungi of the order Tremellales that have the basidium divided longitudinally,i105354,Tremellaceae|family Tremellaceae,Q557221
13081672-n,fungi with yellowish gelatinous sporophores having convolutions resembling those of the brain,i105355,Tremella|genus Tremella,Q206627
13082681-n,coextensive with the family Auriculariaceae; sometimes included in the order Tremellales,i105360,Auriculariales|order Auriculariales,Q892462
13083032-n,type genus of the Auriculariaceae,i105362,Auricularia|genus Auricularia,Q1633488
13083806-n,rust fungi: parasitic fungi causing rust in plants; sometimes placed in,i105366,Uredinales|order Uredinales,Q10657222
13084544-n,rust fungi,i105370,Melampsoraceae|family Melampsoraceae,Q10580133
13085975-n,genus of fungi that produce galls on cedars and other conifers of genera Juniperus and Libocedrus and causes rust spots on apples and pears and other plants of family Rosaceae,i105378,Gymnosporangium|genus Gymnosporangium,Q3272185
13086462-n,category used in some systems to comprise the two orders Ustilaginales (smuts) and Uredinales (rusts),i105380,Tiliomycetes|class Tiliomycetes,Q10692511
13086662-n,parasitic fungi causing smuts; sometimes placed in class Tiliomycetes,i105381,Ustilaginales|order Ustilaginales,Q594740
13087391-n,a fungus family of loose smuts,i105384,Ustilaginaceae|family Ustilaginaceae,Q3233983
13087563-n,type genus of the Ustilaginaceae; genus comprising the loose smuts,i105385,Ustilago|genus Ustilago,Q2361375
13088833-n,a genus of fungi belonging to the family Tilletiaceae,i105392,Tilletia|genus Tilletia,Q626766
13089325-n,a genus of smut fungi belonging to the family Tilletiaceae,i105395,Urocystis|genus Urocystis,Q7900813
13090108-n,a family of fungi belonging to the subdivision Basidiomycota,i105399,Septobasidiaceae|family Septobasidiaceae,Q10665828
13091468-n,"a genus of fungi belonging to the family Hygrophoraceae, containing agarics commonly known as waxcaps (Hygrocybe)",i105404,Hygrocybe|genus Hygrocybe,Q520530
13091789-n,"a genus of fungi belonging to the family Hygrophoraceae, containing agarics commonly known as woodwaxes or waxy caps (Hygrophorus)",i105406,Hygrophorus|genus Hygrophorus,Q622043
13093971-n,a genus of fungi belonging to the family Hygrophoraceae,i105417,Hygrotrama|genus Hygrotrama,Q62523353
13094286-n,"a genus of fungi belonging to the family Hygrophoraceae,with type species being a typical gilled snowbank mushroom (Neohygrophorus)",i105419,Neohygrophorus|genus Neohygrophorus,Q5235841
13096941-n,a genus of fungus characterized by the orange color of the spore deposit,i105432,Gymnopilus|genus Gymnopilus,Q1498027
13098893-n,family of imperfect fungi having white or brightly colored hyphae and spores that are produced directly on the mycelium and not aggregated in fruiting bodies,i105441,Moniliaceae|family Moniliaceae,Q21229502
13099243-n,a genus of fungus of the family Moniliaceae; causes ringworm and favus,i105442,Trichophyton|genus Trichophyton,Q310925
13099412-n,a genus of fungus of the family Moniliaceae; causes ringworm,i105443,Microsporum|genus Microsporum,Q639799
13099569-n,genus of parasitic yeastlike imperfect fungi having spherical or oval conidia in branched chains; some species usually placed in other genera especially genus Candida,i105444,genus Monilia,Q3320779
13100535-n,form genus of imperfect fungi lacking pigment in the spores and conidiophores,i105449,Cercosporella|genus Cercosporella,Q10446583
13100713-n,genus of fungi commonly growing as green or blue molds on decaying food; used in making cheese and as a source of penicillin,i105450,Penicillium|genus Penicillium,Q843136
13100934-n,genus of pathogenic yeastlike fungi,i105451,Blastomyces|genus Blastomyces,Q10431073
13101231-n,family of imperfect mushrooms having dark-colored hyphae or conidia,i105453,Dematiaceae|family Dematiaceae,Q16628379
13101434-n,form genus of imperfect fungi that are leaf parasites with long slender spores,i105454,Cercospora|genus Cercospora,Q2066868
13102129-n,large family of mainly saprophytic imperfect fungi,i105458,Tuberculariaceae|family Tuberculariaceae,Q2119178
13102538-n,a form genus of mostly plant parasites some of which cause dry rot; in humans a species can cause inflammation of cornea leading to blindness,i105460,genus Fusarium,Q131672
13103053-n,form genus of imperfect fungi some species of which are now placed in genera Pellicularia and Corticium because their perfect stages have been found,i105463,genus Rhizoctinia|form genus Rhizoctinia,Q2716477
13103471-n,form genus of imperfect fungi,i105465,Ozonium|genus Ozonium,Q10614405
13103589-n,form genus of sterile imperfect fungi; many form sclerotia; some cause sclerotium disease in plants,i105466,Sclerotium|genus Sclerotium,Q3952473
13161476-n,trees and shrubs usually thorny bearing drupaceous fruit many having medicinal value,i105702,Rhamnaceae|family Rhamnaceae|buckthorn family,Q156083
13164403-n,thorny Eurasian shrubs,i105717,Paliurus|genus Paliurus,Q141273
13165288-n,the type genus of the family Vitaceae; woody vines with simple leaves and small flowers; includes a wide variety of grapes,i105722,Vitis|genus Vitis,Q191019
13168802-n,woody vines having disklike tips on the tendrils,i105742,Parthenocissus|genus Parthenocissus,Q157587
13169385-n,"Piperaceae, Saururaceae, Chloranthaceae",i105745,Piperales|order Piperales,Q27287
