wn_synset,wn_definition,wn_ili,wn_members,wn_wd_qid,wn_qid_candidate,qid_count_original,wd_label,wd_parent,wd_description
02620724-n,common along northeastern coast of North America,i49478,ocean pout|Macrozoarces americanus,Q218024|Q107331225,Q107331225,2,Macrozoarces americanus,Macrozoarces,species of fish
13077814-n,a fungus with a rusty red cap and a white pore surface that becomes yellow with age and a pale yellow stalk,i105335,Boletus roxanae,Q108479890|Q107526679,Q107526679,2,Boletus roxanae,Boletus,species of fungi in the genus Boletus
13037049-n,fungus causing a disease in coffee and some other tropical plants,i105142,coffee fungus|Pellicularia koleroga,Q107527889|Q108145682,Q107527889,2,Botryobasidium koleroga,Botryobasidium,species of fungi in the genus Botryobasidium
02377103-n,solid-hoofed herbivorous quadruped domesticated since prehistoric times,i48054,horse|Equus caballus,Q26644764|Q10758650,Q10758650,2,Equus caballus,Equus,"domestic horse, species of mammal"
13240731-n,of Eurasia and Greenland and North America,i106115,common horsetail|field horsetail|Equisetum arvense,Q17257054|Q107592,Q107592,2,Equisetum arvense,Equisetum,species of plant
13025183-n,widely distributed edible mushroom rich yellow in color with a smooth cap and a pleasant apricot aroma,i105081,chanterelle|chantarelle|Cantharellus cibarius,Q107600474|Q188749,Q107600474,2,Craterellus cibarius,Craterellus,species of fungi in the genus Craterellus
13059337-n,a lorchel with deep brownish red fertile part and white stalk,i105251,Gyromitra fastigiata|Gyromitra brunnea,Q107643708|Q107717878,Q107643708,2,Discina brunnea,Discina,
13059337-n,a lorchel with deep brownish red fertile part and white stalk,i105251,Gyromitra fastigiata|Gyromitra brunnea,Q107643708|Q107717878,Q107717878,2,Gyromitra brunnea,Gyromitra,
13057667-n,a discina with a flat or saucer-shaped fertile body that is brown on the upper surface; has a short stalk; not recommended for eating,i105244,Discina macrospora,Q107718019|Q80914340,Q107718019,2,Gyromitra macrospora,Gyromitra,
12558074-n,perennial twining vine of Old World tropics having trifoliate leaves and racemes of fragrant purple pea-like flowers followed by maroon pods of edible seeds; grown as an ornamental and as a vegetable on the Indian subcontinent; sometimes placed in genus Dolichos,i102803,hyacinth bean|bonavist|Indian bean|Egyptian bean|Lablab purpureus|Dolichos lablab,Q3712638|Q1077410,Q1077410,2,Lablab purpureus,Lablab,species of plant
13077109-n,a fungus that has an off-white cap when it is young but later becomes dingy brown and a stalk of the same color; the under surface of the cap (the tubes) a pale greenish yellow,i105332,Boletus pallidus,Q107799045|Q12200203,Q107799045,2,Imleria pallida,Imleria,species of fungus
13042303-n,a large white agaric; edible but not palatable,i105169,Clitocybe robusta|Clytocybe alba,Q107977878|Q10455220,Q107977878,2,Lepista robusta,Lepista,species of fungi in the genus Lepista
13037049-n,fungus causing a disease in coffee and some other tropical plants,i105142,coffee fungus|Pellicularia koleroga,Q107527889|Q108145682,Q108145682,2,Pellicularia koleroga,Pellicularia,species of fungi in the genus Pellicularia
13079723-n,a fungus with a broadly convex brown cap and pores that extend part way down the stalk,i105345,Phylloporus boletinoides,Q108199695|Q49632525,Q108199695,2,Phylloporopsis boletinoides,Phylloporopsis,species of fungi in the genus Phylloporopsis
13078002-n,a fungus with a velvety stalk and usually a dingy brown cap; injured areas turn blue instantly,i105336,Boletus subvelutipes,Q108416519|Q4035289,Q108416519,2,Suillellus subvelutipes,Suillellus,species of fungi in the genus Suillellus
13253261-n,a large fungus with viscid cap that dries and turns brown with age; gills are off-white,i106180,Armillaria zelleri,Q108443971|Q49600720,Q108443971,2,Tricholoma zelleri,Tricholoma,species of fungi in the genus Tricholoma
13077814-n,a fungus with a rusty red cap and a white pore surface that becomes yellow with age and a pale yellow stalk,i105335,Boletus roxanae,Q108479890|Q107526679,Q108479890,2,Xerocomus roxanae,Xerocomus,species of fungi in the genus Xerocomus
13024282-n,yellowish edible agaric that usually turns red when touched,i105075,blushing mushroom|blusher|Amanita rubescens,Q108559035|Q623485,Q108559035,2,Agaricus rubescens var. rubescens,Agaricus rubescens,
13024472-n,fungus similar to Amanita phalloides,i105076,destroying angel|Amanita verna,Q108561516|Q571885,Q108561516,2,Amanita phalloides var. verna,Amanita phalloides,
13076337-n,an edible and choice fungus; has a convex cap that is slightly viscid when fresh and moist but soon dries and a thick bulbous tan stalk,i105328,Boletus edulis,Q108595981|Q19740,Q108595981,2,Dictyopus edulis var. edulis,Dictyopus edulis,
13057072-n,a helvella with an irregularly convoluted cap that is dark brown when young and becomes dull grey with age; the lower surface of the cap is smooth and pale grey; the stalk is thick and deeply fluted,i105241,Helvella sulcata,Q108607218|Q80915422,Q108607218,2,Helvella lacunosa var. sulcata,Helvella lacunosa,
13054337-n,a morel whose pitted fertile body is attached to the stalk with little free skirt around it; the fertile body is grey when young and black in old age,i105227,black morel|Morchella conica|conic morel|Morchella angusticeps|narrowhead morel,Q108657321|Q1327882,Q108657321,2,Morchella esculenta var. conica,Morchella esculenta,
13022126-n,coarse edible mushroom with a hollow stem and a broad white cap,i105065,horse mushroom|Agaricus arvensis,Q108691770|Q690801,Q108691770,2,Psalliota campestris var. arvensis,Psalliota campestris,
13022289-n,common edible mushroom found naturally in moist open soil; the cultivated mushroom of commerce,i105066,meadow mushroom|field mushroom|Agaricus campestris,Q108691775|Q234529,Q108691775,2,Psalliota campestris var. campestris,Psalliota campestris,
12590899-n,handsome roundheaded deciduous tree having compound dark green leaves and profuse panicles of fragrant creamy-white flowers; China and Japan,i102955,Japanese pagoda tree|Chinese scholartree|Chinese scholar tree|Sophora japonica|Sophora sinensis,Q288558|Q10881597,Q10881597,2,Sophora japonica,Sophora,species of plant
12349084-n,marsh herb with a long spike of purple flowers; originally of Europe but now rampant in eastern United States,i101821,purple loosestrife|spiked loosestrife|Lythrum salicaria,Q10890069|Q157513,Q10890069,2,Lythrum anceps,Lythrum,species of plant
01650281-n,of a great variety of habitats from southern Alaska to Baja California west of the Rockies,i43976,western toad|Bufo boreas,Q2191167|Q109525827,Q109525827,2,,,
01653331-n,a small brown tree toad having a shrill call heard near wetlands of eastern United States and Canada in early spring,i43992,spring peeper|Hyla crucifer,Q135015|Q109526434,Q109526434,2,Hyla crucifer,Hyla,Species of amphibian
01652053-n,this spadefoot toad live in California,i43986,western spadefoot|Scaphiopus hammondii,Q3101052|Q109528215,Q109528215,2,Scaphiopus hammondii,Scaphiopus,Species of amphibian
01458102-n,confined to rivers,i42951,ten-spined stickleback|Gasterosteus pungitius,Q754894|Q109538522,Q109538522,2,Gasterosteus pungitius,Gasterosteus,species of fish
01452353-n,small stocky Mexican fish; popular aquarium fish,i42916,platy|Platypoecilus maculatus,Q1162971|Q109540926,Q109540926,2,Platypoecilus maculatus,Platypoecilus,species of fish
12898253-n,California plant with slender racemes of white flowers,i104463,white snapdragon|Antirrhinum coulterianum,Q15358127|Q10955022,Q10955022,2,Antirrhinum coulterianum,Antirrhinum,species of plant
13203954-n,Eurasian fern with simple lanceolate fronds,i105932,hart's-tongue|hart's-tongue fern|Asplenium scolopendrium|Phyllitis scolopendrium,Q10956573|Q1130272,Q10956573,2,Phyllitis scolopendrium,Phyllitis,species of plant
02127963-n,large American feline resembling a lion,i46618,cougar|puma|catamount|mountain lion|painter|panther|Felis concolor,Q35255|Q109647288,Q109647288,2,Felis concolor,cats,species of mammal
02128791-n,slender long-legged African wildcat having large untufted ears and tawny black-spotted coat,i46623,serval|Felis serval,Q42699|Q109647291,Q109647291,2,Felis serval,cats,species of mammal
12058677-n,bellflower common in marshes of eastern North America having lanceolate linear leaves and small whitish flowers,i100457,marsh bellflower|Campanula aparinoides,Q110059553|Q15596433,Q110059553,2,Palustricodon aparinoides,Palustricodon,species of plant
